salary_id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,remote_type,company_location,company_size,salary_band,is_outlier
1,2020,Mid-Level,Full-Time,Data Scientist,70000,EUR,79833,DE,0,On-Site,DE,Large,Mid-Level,False
2,2020,Senior,Full-Time,Machine Learning Scientist,260000,USD,260000,JP,0,On-Site,JP,Small,Executive,False
3,2020,Senior,Full-Time,Big Data Engineer,85000,GBP,109024,GB,50,Hybrid,GB,Medium,Mid-Level,False
4,2020,Mid-Level,Full-Time,Product Data Analyst,20000,USD,20000,HN,0,On-Site,HN,Small,Junior,False
5,2020,Senior,Full-Time,Machine Learning Engineer,150000,USD,150000,US,50,Hybrid,US,Large,Senior,False
6,2020,Entry,Full-Time,Data Analyst,72000,USD,72000,US,100,Remote,US,Large,Mid-Level,False
7,2020,Senior,Full-Time,Lead Data Scientist,190000,USD,190000,US,100,Remote,US,Small,Senior,False
8,2020,Mid-Level,Full-Time,Data Scientist,11000000,HUF,35735,HU,50,Hybrid,HU,Large,Junior,True
9,2020,Mid-Level,Full-Time,Business Data Analyst,135000,USD,135000,US,100,Remote,US,Large,Senior,False
10,2020,Senior,Full-Time,Lead Data Engineer,125000,USD,125000,NZ,50,Hybrid,NZ,Small,Senior,False
11,2020,Entry,Full-Time,Data Scientist,45000,EUR,51321,FR,0,On-Site,FR,Small,Junior,False
12,2020,Mid-Level,Full-Time,Data Scientist,3000000,INR,40481,IN,0,On-Site,IN,Large,Junior,True
13,2020,Entry,Full-Time,Data Scientist,35000,EUR,39916,FR,0,On-Site,FR,Medium,Junior,False
14,2020,Mid-Level,Full-Time,Lead Data Analyst,87000,USD,87000,US,100,Remote,US,Large,Mid-Level,False
15,2020,Mid-Level,Full-Time,Data Analyst,85000,USD,85000,US,100,Remote,US,Large,Mid-Level,False
16,2020,Mid-Level,Full-Time,Data Analyst,8000,USD,8000,PK,50,Hybrid,PK,Large,Junior,False
17,2020,Entry,Full-Time,Data Engineer,4450000,JPY,41689,JP,100,Remote,JP,Small,Junior,True
18,2020,Senior,Full-Time,Big Data Engineer,100000,EUR,114047,PL,100,Remote,GB,Small,Mid-Level,False
19,2020,Entry,Full-Time,Data Science Consultant,423000,INR,5707,IN,50,Hybrid,IN,Medium,Junior,True
20,2020,Mid-Level,Full-Time,Lead Data Engineer,56000,USD,56000,PT,100,Remote,US,Medium,Junior,False
21,2020,Mid-Level,Full-Time,Machine Learning Engineer,299000,CNY,43331,CN,0,On-Site,CN,Medium,Junior,False
22,2020,Mid-Level,Full-Time,Product Data Analyst,450000,INR,6072,IN,100,Remote,IN,Large,Junior,True
23,2020,Senior,Full-Time,Data Engineer,42000,EUR,47899,GR,50,Hybrid,GR,Large,Junior,False
24,2020,Mid-Level,Full-Time,Bi Data Analyst,98000,USD,98000,US,0,On-Site,US,Medium,Mid-Level,False
25,2020,Mid-Level,Full-Time,Lead Data Scientist,115000,USD,115000,AE,0,On-Site,AE,Large,Mid-Level,False
26,2020,Executive,Full-Time,Director Of Data Science,325000,USD,325000,US,100,Remote,US,Large,Executive,True
27,2020,Entry,Full-Time,Research Scientist,42000,USD,42000,NL,50,Hybrid,NL,Large,Junior,False
28,2020,Senior,Full-Time,Data Engineer,720000,MXN,33511,MX,0,On-Site,MX,Small,Junior,True
29,2020,Entry,Contract,Business Data Analyst,100000,USD,100000,US,100,Remote,US,Large,Mid-Level,False
30,2020,Senior,Full-Time,Machine Learning Manager,157000,CAD,117104,CA,50,Hybrid,CA,Large,Mid-Level,False
31,2020,Mid-Level,Full-Time,Data Engineering Manager,51999,EUR,59303,DE,100,Remote,DE,Small,Junior,False
32,2020,Entry,Full-Time,Big Data Engineer,70000,USD,70000,US,100,Remote,US,Large,Mid-Level,False
33,2020,Senior,Full-Time,Data Scientist,60000,EUR,68428,GR,100,Remote,US,Large,Mid-Level,False
34,2020,Mid-Level,Full-Time,Research Scientist,450000,USD,450000,US,0,On-Site,US,Medium,Executive,True
